source_id,title,author_org,year,type,url,access_date,protocol,version,primary_or_secondary,claim_supported,notes
S01,The Transport Layer Security (TLS) Protocol Version 1.3,E. Rescorla; IETF/RFC Editor,2026,rfc,https://www.rfc-editor.org/info/rfc9846,2026-09-03,TLS,1.3 (RFC 9846; wire version still TLS 1.3),primary,TLS 1.3 当前 Standards Track 规范文本与相对 RFC 8446 的技术修订清单,2026-07 发布；废止 RFC 8446/5246/5077/6961/7627/8422；更新 RFC 5705/6066；仍使用 TLS 1.3 版本号；DOI 10.17487/RFC9846。核验页明确写 This RFC is a minor update to TLS 1.3 that retains the same version number and is backward compatible。
S02,The Transport Layer Security (TLS) Protocol Version 1.3,E. Rescorla; IETF/RFC Editor,2018,rfc,https://www.rfc-editor.org/info/rfc8446,2026-09-03,TLS,1.3 (RFC 8446; now obsolete),primary,TLS 1.3 首次定稿规范及相对 TLS 1.2 的握手/记录层差异,2018-08 发布；废止 RFC 5077/5246/6961；更新 RFC 5705/6066；RFC Editor 信息页标注 This RFC is now obsolete see RFC 9846。DOI 10.17487/RFC8446。公开 Tamarin 模型多对照本 RFC 之前的 draft 而非本 RFC 全文。
S03,The Transport Layer Security (TLS) Protocol Version 1.2,T. Dierks; E. Rescorla; IETF/RFC Editor,2008,rfc,https://www.rfc-editor.org/info/rfc5246,2026-09-03,TLS,1.2 (RFC 5246; now obsolete as TLS spec),primary,TLS 1.2 历史对照规范（记录层 CBC/AEAD、握手、PRF）,2008-08 发布；废止 RFC 3268/4346/4366；更新 RFC 4492。RFC Editor 标注 now obsolete see RFC 8446 and RFC 9846。DOI 10.17487/RFC5246。部署层面仍广泛存在；不能把 1.2 模型结论写成 1.3 结论。
S04,Security Architecture for the Internet Protocol,S. Kent; K. Seo; IETF/RFC Editor,2005,rfc,https://www.rfc-editor.org/info/rfc4301,2026-09-03,IPsec,IPsec architecture RFC 4301,primary,IPsec 总体架构：SA、SPD/SAD/PAD、AH/ESP、传输/隧道模式及与 IKE 的关系,2005-12 Proposed Standard；废止 RFC 2401；后被 RFC 6040/7619 更新。DOI 10.17487/RFC4301。本文只引用架构职责划分，不把 AH/ESP 实现细节写成已验证属性。
S05,Internet Key Exchange Protocol Version 2 (IKEv2),C. Kaufman; P. Hoffman; Y. Nir; P. Eronen; T. Kivinen; IETF/RFC Editor,2014,rfc,https://www.rfc-editor.org/info/rfc7296,2026-09-03,IKEv2,IKEv2 STD 79 / RFC 7296,primary,IKEv2 当前 Internet Standard：IKE_SA_INIT/IKE_AUTH、Child SA、CREATE_CHILD_SA,2014-10；STD 79；废止 RFC 5996。后被 RFC 7427/7670/8247/8983/9370/9827 更新。DOI 10.17487/RFC7296。
S06,Diffie-Hellman Key Agreement Method,E. Rescorla; IETF/RFC Editor,1999,rfc,https://www.rfc-editor.org/info/rfc2631,2026-09-03,DH,RFC 2631 (ANSI X9.42 variant),primary,Internet 标准化的一种 DH 密钥协商变体（含 ZZ 与密钥派生）,1999-06 Proposed Standard；DOI 10.17487/RFC2631。这是 IETF 方法规范，不是 1976 年原文协议本身。
S07,Using Encryption for Authentication in Large Networks of Computers,Roger M. Needham; Michael D. Schroeder; Xerox PARC / Commun. ACM,1978,paper,https://doi.org/10.1145/359657.359659,2026-09-03,NS-PK / NS-SK,Needham–Schroeder 1978 original,primary,Needham–Schroeder 对称与公钥认证协议原文,Commun. ACM 21(12):993-999。dblp 记录 journals/cacm/NeedhamS78。公开分析通常抽取其中公钥三消息核心（NS-PK）。
S08,An attack on the Needham-Schroeder public-key authentication protocol,Gavin Lowe; Information Processing Letters,1995,paper,https://doi.org/10.1016/0020-0190(95)00144-2,2026-09-03,NS-PK,NS-PK 1978 plus Lowe impersonation attack,primary,Lowe 对 NS-PK 的中间人/身份冒充攻击,IPL 56(3):131-133（ScienceDirect 页亦给出 131-133）。先于 1996 年 FDR 修复论文。
S09,Breaking and Fixing the Needham-Schroeder Public-Key Protocol Using FDR,Gavin Lowe,1996,paper,https://doi.org/10.1007/3-540-61042-1_43,2026-09-03,NSL,NSL (Lowe-fixed NS-PK),primary,用 FDR/CSP 发现攻击并给出在第 2 条消息加入响应者身份的修复（NSL）,TACAS 1996 / LNCS 1055。期刊转载见 Softw. Concepts Tools 17:93-102。修复后的协议即常见 NSL 公开模型。
S10,New Directions in Cryptography,Whitfield Diffie; Martin E. Hellman; IEEE Trans. Inf. Theory,1976,paper,https://doi.org/10.1109/TIT.1976.1055638,2026-09-03,DH,classic unauthenticated DH 1976,primary,Diffie–Hellman 密钥协商原文（无认证、易受 MITM）,IEEE Trans. Inf. Theory 22(6):644-654。后续 STS/SIGMA/IKE/TLS (EC)DHE 均以此为密码学基础而非部署规范。
